Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
"07:30AM–09:00AM","AR163-1P
E01
S308","GED103
A3
ONLINE",,"GED103
A3
ONLINE",,"GED103
A3
ONLINE",
"09:00AM–10:30AM","AR163-1P
E01
S308","DSS10
A4
NW408",,"DSS10
A4
SW200","AR163-1P
E01
ONLINE","DSS10
A4
ONLINE",
"10:30AM–12:00PM","AR163-1P
E01
S308",,,,"AR163-1P
E01
ONLINE",,
"12:00PM–01:30PM",,,,,,"AR173-1P
A54
S303",
"01:30PM–03:00PM",,,,,,"AR173-1P
A54
S303",
"03:00PM–04:30PM",,,,,"MEC30-7
C5
ONLINE","AR173-1P
A54
S303",
"04:30PM–06:00PM","AR153P
E01
S300",,,,"AR153P
E01
ONLINE",,
"06:00PM–07:30PM","AR153P
E01
S300","AR173-1P
A54
SW304",,,"AR153P
E01
ONLINE","MEC30-7
C5
S301",
"07:30PM–09:00PM","AR153P
E01
S300","AR173-1P
A54
SW304",,,,"MEC30-7
C5
S301",
